count_index,name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
1_2023-06-27,Телзап АМ таблетки 5мг+40мг №28,2023-06-27,0,0,0
2_2023-06-27,Телзап таблетки 40мг №90,2023-06-27,0,0,0
3_2023-06-27,"Эквапресс МВ капсулы 10мг+1,5мг+20мг №28",2023-06-27,0,0,0
4_2023-06-27,Анаприлин Реневал таблетки 10мг №112,2023-06-27,55.0,47.0,55.0
5_2023-06-27,Симвастатин таблетки 20мг №30,2023-06-27,107.0,85.0,107.0
6_2023-06-27,Валз Н таблетки 160мг+12.5мг №28,2023-06-27,0,0,0
7_2023-06-27,Амлодипин Кардио таблетки 5мг №30,2023-06-27,0,0,0
8_2023-06-27,"Эквапресс МВ капсулы 5мг+1,5мг+20мг №28",2023-06-27,0,0,0
9_2023-06-27,Телзап АМ таблетки 5мг+80мг №28,2023-06-27,774.0,480.0,774.0
10_2023-06-27,"Диротон Плюс МВ капсулы 20мг+1,5мг №28",2023-06-27,0,0,0
11_2023-06-27,Атенолол таблетки 100мг №30,2023-06-27,0,0,0
12_2023-06-27,Телзап АМ таблетки 5мг+40мг №56,2023-06-27,0,0,0
13_2023-06-27,Эксфорж таблетки 10мг+160мг №28,2023-06-27,0,0,0
14_2023-06-27,"Моксонидин таблетки 0,2мг №28",2023-06-27,181.0,134.0,181.0
15_2023-06-27,Метопролол таблетки 100мг №30,2023-06-27,0,0,0
16_2023-06-27,Эналаприл таблетки 5мг №20,2023-06-27,39.0,33.0,39.0
17_2023-06-27,Верапамил таблетки 40мг №30,2023-06-27,50.0,38.0,50.0
18_2023-06-27,"Коапровель таблетки 150мг+12,5мг №28",2023-06-27,902.0,628.0,902.0
19_2023-06-27,Эналаприл таблетки 20мг №20,2023-06-27,58.0,52.0,58.0
20_2023-06-27,Экламиз таблетки 5мг+10мг №30,2023-06-27,0,0,0
21_2023-06-27,Лизиноприл таблетки 5мг №30,2023-06-27,133.0,97.0,133.0
22_2023-06-27,"Эдарби Кло таблетки 40мг+12,5мг №98",2023-06-27,0,0,0
23_2023-06-27,Лизиноприл таблетки 5мг №30,2023-06-27,55.0,37.0,55.0
24_2023-06-27,Метопролол таблетки 50мг №30,2023-06-27,0,0,0
25_2023-06-27,Бисопролол таблетки 5мг №30,2023-06-27,0,0,0
26_2023-06-27,"Периндоприл Плюс индапамид таблетки 1,25мг+4мг №30",2023-06-27,0,0,0
27_2023-06-27,Амлодипин таблетки 5мг №30,2023-06-27,0,0,0
28_2023-06-27,Бисопролол таблетки 10мг №50,2023-06-27,0,0,0
29_2023-06-27,Лизинотон таблетки 10мг №28,2023-06-27,0,0,0
30_2023-06-27,Амлотоп таблетки 10мг №30,2023-06-27,190.0,140.0,190.0
31_2023-06-27,Бисопролол таблетки 5мг №50,2023-06-27,0,0,0
32_2023-06-27,Валз таблетки 160мг №28,2023-06-27,0,0,0
33_2023-06-27,Нитроглицерин таблетки 0.5мг №40,2023-06-27,0,0,0
34_2023-06-27,Кардикет ретард таблетки 40мг №50,2023-06-27,0,0,0
35_2023-06-27,Кардикет ретард таблетки 20мг №50,2023-06-27,0,0,0
36_2023-06-27,Раеном таблетки 5мг №56,2023-06-27,951.0,705.0,951.0
37_2023-06-27,Ранекса таблетки 500мг №60,2023-06-27,0,0,0
38_2023-06-27,Флебодиа крем 50г,2023-06-27,0,0,0
39_2023-06-27,Докси-Хем капсулы 500мг №90,2023-06-27,1072.0,763.0,1072.0
40_2023-06-27,Солгар Коэнзим Q-10 капсулы 30мг №30,2023-06-27,0,0,0
41_2023-06-27,"Панангин раствор для инфузий 45,2мг+40мг/мл ампулы 10мл №5",2023-06-27,0,0,0
42_2023-06-27,Солгар Корень дягиля плюс лекарственного капсулы №100,2023-06-27,0,0,0
43_2023-06-27,Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-06-27,0,0,0
44_2023-06-27,Корвалол форте таблетки №30,2023-06-27,0,0,0
45_2023-06-27,Ливазо таблетки 4мг №28,2023-06-27,0,0,0
46_2023-06-27,Зенон таблетки 10мг+10мг №30,2023-06-27,0,0,0
47_2023-06-27,Торвакард таблетки 10мг №90,2023-06-27,0,0,0
