count_index,name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
1_2023-05-07,Лизиноприл таблетки 5мг №30,2023-05-07,56.0,39.0,56.0
2_2023-05-07,Лизиноприл таблетки 5мг №30,2023-05-07,130.0,99.0,130.0
3_2023-05-07,Велкардио таблетки 25мг №30,2023-05-07,0,0,0
4_2023-05-07,Метопролол таблетки 50мг №30,2023-05-07,0,0,0
5_2023-05-07,Лизинотон таблетки 10мг №28,2023-05-07,0,0,0
6_2023-05-07,"Эдарби Кло таблетки 40мг+12,5мг №98",2023-05-07,0,0,0
7_2023-05-07,Небилет таблетки 5мг №28,2023-05-07,1392.0,1053.0,1392.0
8_2023-05-07,Валз таблетки 160мг №28,2023-05-07,427.0,292.0,427.0
9_2023-05-07,Амлодипин таблетки 5мг №30,2023-05-07,167.0,126.0,167.0
10_2023-05-07,Бисопролол таблетки 5мг №30,2023-05-07,0,0,0
11_2023-05-07,Амлотоп таблетки 10мг №30,2023-05-07,197.0,146.0,197.0
12_2023-05-07,Бисопролол таблетки 5мг №50,2023-05-07,0,0,0
13_2023-05-07,Дигоксин Реневал таблетки 0.25мг №56,2023-05-07,0,0,0
14_2023-05-07,Нитроглицерин таблетки 0.5мг №40,2023-05-07,0,0,0
15_2023-05-07,"Раеном таблетки 7,5мг №56",2023-05-07,0,0,0
16_2023-05-07,Раеном таблетки 5мг №56,2023-05-07,954.0,723.0,954.0
17_2023-05-07,Калия оротат таблетки 0.5г №20,2023-05-07,0,0,0
18_2023-05-07,Лиотон гель 30г,2023-05-07,870.0,635.0,870.0
19_2023-05-07,Боярышник настойка флакон 25мл,2023-05-07,29.0,19.0,29.0
20_2023-05-07,Солгар L-Аргинин таблетки 1000мг №90,2023-05-07,0,0,0
21_2023-05-07,"Индапамид таблетки 1,5мг №30",2023-05-07,142.0,114.0,142.0
22_2023-05-07,Лиотон 1000 гель 50г,2023-05-07,1262.0,963.0,1262.0
23_2023-05-07,Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-05-07,0,0,0
24_2023-05-07,Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2023-05-07,0,0,0
25_2023-05-07,Корвалол форте таблетки №30,2023-05-07,0,0,0
26_2023-05-07,Валидол Реневал таблетки для рассасывания 60мг №16,2023-05-07,92.0,64.0,92.0
27_2023-05-07,"Коэнзим композитум раствор для инъекций ампулы 2,2мл №5",2023-05-07,0,0,0
28_2023-05-07,Ливазо таблетки 1мг №28,2023-05-07,0,0,0
29_2023-05-07,Зенон таблетки 20мг+10мг №30,2023-05-07,0,0,0
30_2023-05-07,Зенон таблетки 10мг+10мг №30,2023-05-07,0,0,0
31_2023-05-07,Сувардио таблетки 10мг №28,2023-05-07,0,0,0
32_2023-05-07,Ро-статин таблетки 20мг №30,2023-05-07,0,0,0
33_2023-05-07,Розувастатин Тева таблетки 10мг №30,2023-05-07,0,0,0
34_2023-05-07,"Моксонидин таблетки 0,2мг №28",2023-05-07,181.0,134.0,181.0
35_2023-05-07,Лортенза таблетки 5мг+50мг №90,2023-05-07,0,0,0
36_2023-05-07,Эналаприл таблетки 5мг №20,2023-05-07,0,0,0
37_2023-05-07,"Моксонидин таблетки 0,4мг №28",2023-05-07,289.0,200.0,289.0
38_2023-05-07,Кордипин XL таблетки 40мг №20,2023-05-07,157.0,121.0,157.0
39_2023-05-07,Апроваск таблетки 5мг+300мг №28,2023-05-07,0,0,0
40_2023-05-07,Апровель таблетки 150мг №28,2023-05-07,0,0,0
41_2023-05-07,Апроваск таблетки 10мг+300мг №28,2023-05-07,0,0,0
42_2023-05-07,Хартил таблетки 10мг №28,2023-05-07,0,0,0
43_2023-05-07,"Энап таблетки 2,5мг №60",2023-05-07,66.0,61.0,66.0
44_2023-05-07,"Коапровель таблетки 300мг+12,5мг №28",2023-05-07,1332.0,1008.0,1332.0
45_2023-05-07,Телзап АМ таблетки 10мг+40мг №28,2023-05-07,0,0,0
46_2023-05-07,Каптоприл таблетки 50мг №20,2023-05-07,37.0,28.0,37.0
47_2023-05-07,Эналаприл таблетки 20мг №20,2023-05-07,60.0,54.0,60.0
48_2023-05-07,Телсартан АМ таблетки 5мг+40мг №28,2023-05-07,0,0,0
49_2023-05-07,Берлиприл таблетки 5мг №30,2023-05-07,68.0,52.0,68.0
50_2023-05-07,Бисопролол таблетки 10мг №50 Рафарма,2023-05-07,0,0,0
51_2023-05-07,"Телсартан Н таблетки 80мг+12,5мг №28",2023-05-07,0,0,0
52_2023-05-07,Карведилол таблетки 12.5мг №30,2023-05-07,0,0,0
53_2023-05-07,Телсартан АМ таблетки 5мг+80мг №28,2023-05-07,0,0,0
54_2023-05-07,Экламиз таблетки 5мг+10мг №30,2023-05-07,0,0,0
55_2023-05-07,Валаар таблетки 80мг №28,2023-05-07,0,0,0
56_2023-05-07,"Периндоприл Плюс индапамид таблетки 2,5мг+8мг №30",2023-05-07,0,0,0
57_2023-05-07,Лизиноприл таблетки 10мг №30,2023-05-07,210.0,165.0,210.0
58_2023-05-07,Соталол таблетки 80мг №30,2023-05-07,0,0,0
59_2023-05-07,Соталол таблетки 160мг №30,2023-05-07,0,0,0
60_2023-05-07,Детралекс таблетки 500мг №60,2023-05-07,0,0,0
61_2023-05-07,Липримар таблетки 80мг №30,2023-05-07,0,0,0
62_2023-05-07,Конкор таблетки 10мг №50,2023-05-07,0,0,0
63_2023-05-07,Дибазол раствор для инъекций 1% ампулы 5мл №10,2023-05-07,68.0,54.0,68.0
64_2023-05-07,Ортофен мазь 2% 50г,2023-05-07,188.0,156.0,188.0
65_2023-05-07,Ибупрофен таблетки 400мг №30,2023-05-07,363.0,303.0,363.0
66_2023-05-07,Кеторолак раствор для инъекций 30мг ампулы 1мл №10,2023-05-07,95.0,90.0,95.0
67_2023-05-07,Артраксикам крем 50г,2023-05-07,632.0,415.0,632.0
68_2023-05-07,Бикситор таблетки 90мг №10,2023-05-07,484.0,337.0,484.0
69_2023-05-07,Спазмалгон таблетки №10,2023-05-07,219.0,123.0,219.0
70_2023-05-07,Димексид флакон 200 мл,2023-05-07,298.0,248.0,298.0
71_2023-05-07,Спазмалгон эффект таблетки №10,2023-05-07,249.0,166.0,249.0
72_2023-05-07,Эторелекс таблетки 60мг №28,2023-05-07,672.0,560.0,672.0
73_2023-05-07,Меновазин раствор для наружного применения флакон 40мл,2023-05-07,47.0,34.0,47.0
74_2023-05-07,Аленталь крем 50г,2023-05-07,294.0,245.0,294.0
75_2023-05-07,Дротаверин Реневал таблетки 40мг №28,2023-05-07,97.0,92.0,97.0
76_2023-05-07,Эторелекс таблетки 90мг №7,2023-05-07,320.0,215.0,320.0
77_2023-05-07,Спазган таблетки №20,2023-05-07,194.0,130.0,194.0
78_2023-05-07,Аджиколд хотмикс порошок для приготовления раствора для приема внутрь Апельсин пакетики №5,2023-05-07,182.0,151.0,182.0
79_2023-05-07,Скипидарная мазь 25г,2023-05-07,42.0,31.0,42.0
80_2023-05-07,Артраксикам крем 30г,2023-05-07,487.0,297.0,487.0
81_2023-05-07,Фламакс раствор 50мг/мл ампулы 2мл №10,2023-05-07,283.0,221.0,283.0
82_2023-05-07,Камфорный спирт раствор 2% флакон 40мл,2023-05-07,74.0,57.0,74.0
83_2023-05-07,Парацетамол таблетки шипучие 500мг №12,2023-05-07,143.0,107.0,143.0
84_2023-05-07,Горячее питье со вкусом Вишни саше 5г №10,2023-05-07,184.0,153.0,184.0
85_2023-05-07,Эторелекс таблетки 90мг №28,2023-05-07,732.0,610.0,732.0
86_2023-05-07,Димексид гель 25% 30г,2023-05-07,286.0,218.0,286.0
87_2023-05-07,Дексонал таблетки 25мг №10,2023-05-07,409.0,325.0,409.0
88_2023-05-07,Горячее питье БерриВитС Эхинацея и бузина стик 4г №10,2023-05-07,178.0,148.0,178.0
89_2023-05-07,Папаверина гидрохлорид раствор для инъекций 2% ампулы 2мл №10 Дальхимфарм,2023-05-07,126.0,100.0,126.0
90_2023-05-07,Парацетамол таблетки 500мг №20,2023-05-07,41.0,36.0,41.0
91_2023-05-07,Фламадекс раствор для внутривенного и внутримышечного введения 25мг/мл ампулы 2мл №5,2023-05-07,239.0,195.0,239.0
92_2023-05-07,Целекоксиб капсулы 200мг №30,2023-05-07,635.0,529.0,635.0
93_2023-05-07,Фламакс раствор 50мг/мл ампулы 2мл №5,2023-05-07,147.0,117.0,147.0
94_2023-05-07,Доктор Перец Лейкопластырь перцовый10х18см перфорированный №1,2023-05-07,63.0,51.0,63.0
95_2023-05-07,Колдакт с витмином С таблетки №10,2023-05-07,249.0,249.0,385.0
96_2023-05-07,Колдакт флю плюс капсулы №10,2023-05-07,354.0,212.0,354.0
97_2023-05-07,Лейкопластырь перцовый 10х18см перфорированный,2023-05-07,54.0,42.0,54.0
98_2023-05-07,Нимесулид таблетки 100мг №30,2023-05-07,233.0,192.0,233.0
99_2023-05-07,Скипидарная мазь 25г,2023-05-07,46.0,35.0,46.0
100_2023-05-07,Эмла крем 5г №5,2023-05-07,2326.0,1776.0,2326.0
101_2023-05-07,Ибупрофен гель 5% 50г,2023-05-07,94.0,90.0,94.0
102_2023-05-07,Камфорное масло флакон пластиковый 30мл,2023-05-07,54.0,34.0,54.0
103_2023-05-07,Седальгин плюс таблетки №10,2023-05-07,278.0,164.0,278.0
