count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,Количество в упаковке,Other,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13,product_group_14,product_group_15,product_group_16,product_group_17,product_group_18,product_group_19,product_group_20,product_group_21,product_group_22
1_2023-06-27,Телзап АМ таблетки 5мг+40мг №28,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Телмисартан']",[],['Телзап АМ'],['Zentiva/ Зентива'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Телмисартан'],['5мг+40мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_2023-06-27,Телзап таблетки 40мг №90,2023-06-27,"['Инфаркт мозга', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Телмисартан'],"['Телзап', 'Телмиста', 'Телпрес']",['Телзап'],['Zentiva/ Зентива'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан'],['40мг'],['Средства снижающие давление'],['90 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_2023-06-27,"Эквапресс МВ капсулы 10мг+1,5мг+20мг №28",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Индапамид', 'Лизиноприл']",[],['Эквапресс'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Капсулы'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Индапамид+Лизиноприл'],['10мг+1.5мг+20мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2023-06-27,Анаприлин Реневал таблетки 10мг №112,2023-06-27,"['Мигрень', 'Гемангиома любой локализации', 'Доброкачественное новообразование надпочечника', 'Тиреотоксикоз [гипертиреоз]', 'Дисфункция гипоталамуса, не классифицированная в других рубриках']",['Пропранолол'],[],['Анаприлин'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Пропранолол'],['10мг'],['Средства снижающие давление'],['112 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_2023-06-27,Симвастатин таблетки 20мг №30,2023-06-27,"['Атеросклероз', 'Ишемическая болезнь сердца']",['Симвастатин'],"['Вазилип', 'Зокор', 'Симвагексал', 'Симвор']",['Симвастатин'],['Авва-Рус/Сти-Мед-Сорб'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Симвастатин'],['20мг'],['Гиполипидемические средства (Статины)'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_2023-06-27,Валз Н таблетки 160мг+12.5мг №28,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Валсартан', 'Гидрохлоротиазид']",[],['Валз-Н'],['Balkanpharma Dupnitza/ Балканфарма Дупница'],['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан+Гидрохлоротиазид'],['160мг+12.5мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_2023-06-27,Амлодипин Кардио таблетки 5мг №30,2023-06-27,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Нестабильная стенокардия', 'Стенокардия с документально подтвержденным спазмом']",['Амлодипин'],"['Калчек', 'Амлотоп', 'Норваск', 'Нормодипин', 'Тенокс']",['Амлодипин'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин'],['5мг'],['Средства снижающие давление'],['30 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_2023-06-27,"Эквапресс МВ капсулы 5мг+1,5мг+20мг №28",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Индапамид', 'Лизиноприл']",[],['Эквапресс'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Капсулы'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Индапамид+Лизиноприл'],['5мг+1.5мг+20мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_2023-06-27,Телзап АМ таблетки 5мг+80мг №28,2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Телмисартан']",[],['Телзап АМ'],['Zentiva/ Зентива'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Телмисартан'],['5мг+80мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_2023-06-27,"Диротон Плюс МВ капсулы 20мг+1,5мг №28",2023-06-27,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Лизиноприл']",[],['Диротон Плюс'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Капсулы'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл+Индапамид'],['20мг+1.5мг'],['Средства снижающие давление'],['28 шт'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
