count_index,name,price_withCard,price_withPeriod,price_withoutCard,allowOnlinePayment,isInStock,name_latin,bonuses,averageRating,isAvailable,allowDelivery,isRecipe,group,parsing_day_x,Nosology,Active_ingredient,Product_Group,Brand,Manufacturer,Country,Form_release,Form_release_common,Prescription,Conditions_of_storage,Active_ingredient_compound_name_composition,weight_briefly,Pharmacotherapeutic_group
4_2023-06-27,Анаприлин Реневал таблетки 10мг №112,55.0,47.0,55.0,0,0,anaprilin_tabletki_10mg_112,1.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Мигрень, Гемангиома любой локализации, Доброкачественное новообразование надпочечника, Тиреотоксикоз гипертиреоз, Дисфункция гипоталамуса, не классифицированная в других рубриках",Пропранолол,Not value,Анаприлин,"ЗАО ""ПФК Обновление""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Пропранолол,10мг,Средства снижающие давление
5_2023-06-27,Симвастатин таблетки 20мг №30,107.0,85.0,107.0,0,0,simvastatin_tabletki_20mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Атеросклероз, Ишемическая болезнь сердца",Симвастатин,"Вазилип, Зокор, Симвагексал, Симвор",Симвастатин,Авва-Рус/Сти-Мед-Сорб,Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Симвастатин,20мг,Гиполипидемические средства (Статины)
9_2023-06-27,Телзап АМ таблетки 5мг+80мг №28,774.0,480.0,774.0,0,0,telzap_am_tabletki_5mg_80mg_28,6.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,Эссенциальная первичная гипертензия,"Амлодипин, Телмисартан",Not value,Телзап АМ,Zentiva/ Зентива,Чехия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Амлодипин+Телмисартан,5мг+80мг,Средства снижающие давление
14_2023-06-27,"Моксонидин таблетки 0,2мг №28",181.0,134.0,181.0,0,0,moksonidin_tabletki_0_2mg_28,15.0,5.0,0,0,1,serdechnososudistaya,2023-06-27,Эссенциальная первичная гипертензия,Моксонидин,"Физиотенз, Моксонитекс, Тензотран",Моксонидин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Моксонидин,0.2мг,Средства снижающие давление
16_2023-06-27,Эналаприл таблетки 5мг №20,39.0,33.0,39.0,0,0,enalapril_tabletki_5mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,"Берлиприл, Рениприл, Ренитек, Эднит, Энам, Энап",Эналаприл,"ЗАО ФП ""Оболенское""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,5мг,Средства снижающие давление
17_2023-06-27,Верапамил таблетки 40мг №30,50.0,38.0,50.0,0,0,verapamil_tabletki_40mg_30,1.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,,Верапамил,Изоптин,Верапамил,Alkaloid/ Алкалоид,Македония,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Верапамил,40мг,Средства снижающие давление
18_2023-06-27,"Коапровель таблетки 150мг+12,5мг №28",902.0,628.0,902.0,0,0,koaprovel_tabletki_15012_5mg_28,15.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,Эссенциальная первичная гипертензия,"Гидрохлоротиазид, Ирбесартан",Not value,Коапровель,Sanofi Aventis Pharma/ Санофи Авентис,Франция,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ирбесартан+Гидрохлоротиазид,150мг+12.5мг,Средства снижающие давление
19_2023-06-27,Эналаприл таблетки 20мг №20,58.0,52.0,58.0,0,0,enalapril_tabletki_20mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,"Берлиприл, Рениприл, Ренитек, Эднит, Энам, Энап",Эналаприл,"ЗАО ФП ""Оболенское""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,20мг,Средства снижающие давление
21_2023-06-27,Лизиноприл таблетки 5мг №30,133.0,97.0,133.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани,Венгрия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
23_2023-06-27,Лизиноприл таблетки 5мг №30,55.0,37.0,55.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,,Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,"ОАО ЗМП ""Борисовский""",Беларусь,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
30_2023-06-27,Амлотоп таблетки 10мг №30,190.0,140.0,190.0,0,0,amlotop_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Нестабильная стенокардия, Стенокардия с документально подтвержденным спазмом",Амлодипин,Not value,Амлотоп,"ООО ""Хемофарм""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Амлодипин,10мг,Средства снижающие давление
36_2023-06-27,Раеном таблетки 5мг №56,951.0,705.0,951.0,0,0,raenom_tabletki_5mg_56,22.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Ишемическая болезнь сердца, Стенокардия грудная жаба, Застойная сердечная недостаточность",Ивабрадин,Кораксан,Раеном,Gedeon Richter/ Гедеон Рихтер,Румыния,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ивабрадин,5мг,Антиангинальные средства
39_2023-06-27,Докси-Хем капсулы 500мг №90,1072.0,763.0,1072.0,0,0,doksihem_kapsuly_500mg_90,16.0,5.0,0,0,1,serdechnososudistaya,2023-06-27,"Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3), Флебит и тромбофлебит поверхностных сосудов нижних конечностей, Варикозное расширение вен нижних конечностей, Варикозное расширение вен нижних конечностей с язвой и воспалением, Хроническая язва кожи, не классифицированная в других рубриках",Кальция добезилат,Not value,Докси-Хем,Hemofarm A.D./ Хемофарм,Сербия,Капсулы,,Рецептурный,15-25 С,Кальция добезилат,500мг,Венотонизирующие внутренние средства
54_2023-06-27,Апровель таблетки 150мг №28,949.0,588.0,949.0,0,0,aprovel_tabletki_150mg_28,19.0,5.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2), Гломерулярные поражения при других болезнях, классифицированных в других рубриках",Ирбесартан,Not value,Апровель,Sanofi Aventis Pharma/ Санофи Авентис,Франция,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ирбесартан,150мг,Средства снижающие давление
55_2023-06-27,Эналаприл таблетки 5мг №20,28.0,21.0,28.0,0,0,enalapril_tabletki_5mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,"Берлиприл, Рениприл, Ренитек, Эднит, Энам, Энап",Эналаприл,"ПАО ""Биосинтез""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,5мг,Средства снижающие давление
56_2023-06-27,Кордипин XL таблетки 40мг №20,157.0,118.0,157.0,0,0,kordipin_xl_tabletki_40mg_20,3.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Стенокардия с документально подтвержденным спазмом, Синдром Рейно",Нифедипин,Not value,Кордипин,KRKA d.d./ КРКА,Словения,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Нифедипин,40мг,Средства снижающие давление
58_2023-06-27,"Моксонидин таблетки 0,4мг №28",285.0,196.0,285.0,0,0,moksonidin_tabletki_0_4mg_28,23.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,Эссенциальная первичная гипертензия,Моксонидин,"Физиотенз, Моксонитекс, Тензотран",Моксонидин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Моксонидин,0.4мг,Средства снижающие давление
60_2023-06-27,"Коапровель таблетки 300мг+12,5мг №28",1192.0,829.0,1192.0,0,0,koaprovel_tabletki_30012_5mg_28,20.0,5.0,0,0,1,serdechnososudistaya,2023-06-27,Эссенциальная первичная гипертензия,"Гидрохлоротиазид, Ирбесартан",Not value,Коапровель,Sanofi Aventis Pharma/ Санофи Авентис,Франция,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ирбесартан+Гидрохлоротиазид,300мг+12.5мг,Средства снижающие давление
61_2023-06-27,Каптоприл таблетки 50мг №20,36.0,27.0,36.0,0,0,kaptopril_tabletki_50mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,Ишемическая болезнь сердца,Каптоприл,Капотен,Каптоприл,"ООО ""Пранафарм""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Каптоприл,50мг,Средства снижающие давление
62_2023-06-27,Лизиноприл таблетки 10мг №30,210.0,162.0,210.0,0,0,lizinopril_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани,Венгрия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,10мг,Средства снижающие давление
64_2023-06-27,"Энап таблетки 2,5мг №60",64.0,61.0,64.0,0,0,enap_tabletki_2_5mg_60,4.0,5.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,Not value,Энап,KRKA d.d./ КРКА,Словения,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,2.5мг,Средства снижающие давление
66_2023-06-27,Берлиприл таблетки 5мг №30,68.0,51.0,68.0,0,0,berlipril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Застойная сердечная недостаточность",Эналаприл,Not value,Берлиприл,Berlin-Chemie AG/ Берлин-Хеми ,Германия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,5мг,Средства снижающие давление
67_2023-06-27,Амлодипин таблетки 5мг №30,170.0,123.0,170.0,0,0,amlodipin_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-06-27,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Нестабильная стенокардия, Стенокардия с документально подтвержденным спазмом",Амлодипин,Not value,Амлодипин,"ООО ""Р-Фарм Новосёлки""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Амлодипин,5мг,Средства снижающие давление
81_2023-06-27,Бикситор таблетки 90мг №10,471.0,302.0,471.0,0,1,biksitor_tabletki_90mg_10,24.0,0.0,1,0,1,obezbolivayushchie,2023-06-27,"Подагра, Боль в суставе, Серопозитивный ревматоидный артрит, Артрит неуточненный, Полиартроз",Эторикоксиб,"Болит зуб, Боль в мышцах, Боль в спине, От боли в суставах",Бикситор,"АЕТ Лабораториз Прайвет Лимитед/ООО ""Хемофарм""",Индия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эторикоксиб,90мг,Противовоспалительные средства (внутренние)
82_2023-06-27,Нимесулид гель 1% 20г,175.0,140.0,175.0,1,1,nimesulid_gel_1_20g,0.0,5.0,1,1,0,obezbolivayushchie,2023-06-27,"Подагра, Миалгия, Серопозитивный ревматоидный артрит, Псориатические и энтеропатические артропатии, Полиартроз",Нимесулид,"Вольтарен, Боль в мышцах, Боль в спине, Быструмгель, Дип Рилиф, Диклак, Долобене",Нимесулид,"ООО ""Озон""",Россия,Гель для наружного применения,Гель,Без рецепта,Не выше 25 С,Нимесулид,1%,Противовоспалительные и обезболивающие средства (наружные)
83_2023-06-27,Спазмалгон эффект таблетки №10,267.0,183.0,267.0,1,1,spazmalgon_effekt_tabletki_10,0.0,5.0,1,1,0,obezbolivayushchie,2023-06-27,"Головная боль, Миалгия, Боль в суставе, Острая инфекция верхних дыхательных путей неуточненная, Грипп, вызванный идентифицированным вирусом гриппа","Дротаверин, Кофеин, Напроксен, Парацетамол, Фенирамин",Болит голова,Спазмалгон,Balkanpharma Dupnitza/ Балканфарма Дупница,Болгария,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Парацетамол+Напроксен+Кофеин+Дротаверин+Фенирамин,325мг+100мг+50мг+40мг+10мг,Средства спазмолитики
84_2023-06-27,Дротаверин таблетки 40мг №60,173.0,137.0,173.0,1,1,drotaverin_tabletki_40mg_60,0.0,0.0,1,1,0,obezbolivayushchie,2023-06-27,"Запор, Синдром раздраженного кишечника, Головная боль напряженного типа, Язва желудка, Язва двенадцатиперстной кишки",Дротаверин,Not value,Дротаверин,"ООО ""Велфарм""",Россия,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Дротаверин,40мг,Средства спазмолитики
85_2023-06-27,Кеторолак раствор для инъекций 30мг ампулы 1мл №10,94.0,89.0,94.0,0,1,ketorolak_rastvor_30mg_amp_1ml_10,0.0,0.0,1,0,1,obezbolivayushchie,2023-06-27,"Миалгия, Боль в суставе, Другие уточненные изменения зубов и их опорного аппарата, Серопозитивный ревматоидный артрит, Полиартроз",Кеторолак,"Вольтарен, Дексалгин, Кетонал",Кеторолак,"ООО ""Велфарм""",Россия,Раствор для инъекций,Растворы,Рецептурный,15-25 С,Кеторолак,30мг/мл,Противовоспалительные средства (внутренние)
86_2023-06-27,Горячее питье Комплекс в сезон простуд с витамином С саше со вкусом малины №10,228.0,188.0,228.0,1,1,goryachee_pite_kompleks_v_sezon_prostud_s_vitaminom_s_sashe_10,0.0,4.67,1,1,0,obezbolivayushchie,2023-06-27,,"Алтея экстракт, Аскорбиновая кислота, Экстракт имбиря, Мать-и-мачехи листья экстракт, Мелиссы экстракт, Душицы экстракт","Терафлю, Ринза, Фервекс",Горячее питье,"ООО ""Мирролла""",Россия,Порошок для приготовления раствора для внутреннего применения,Порошок,Без рецепта,Не выше 25 С,Аскорбиновая кислота+Душицы экстракт+Алтея экстракт+Мелиссы экстракт+Мать-и-мачехи листья экстракт+Экстракт имбиря,Отсутствует,Противопростудные комплексы
87_2023-06-27,Ортофен мазь 2% 50г,188.0,156.0,188.0,1,1,ortofen_maz_2_50g,14.0,5.0,1,1,0,obezbolivayushchie,2023-06-27,"Подагра, Миалгия, Боль в суставе, Серопозитивный ревматоидный артрит, Полиартроз",Диклофенак,"Домашняя аптечка, Вольтарен, Боль в мышцах, Боль в спине, Быструмгель, Диклофенак, Дип Рилиф, Диклак, Долобене",Ортофен,АО «ВЕРТЕКС»,Россия,Мазь для наружного применения,Мазь,Без рецепта,Не выше 25 С,Диклофенак,2%,Противовоспалительные и обезболивающие средства (наружные)
88_2023-06-27,Меновазин раствор для наружного применения флакон 40мл,47.0,34.0,47.0,0,1,menovazin_rastvor_dlya_naruzhnogo_primeneniya_flakon_40ml,0.0,0.0,1,0,0,obezbolivayushchie,2023-06-27,"Миалгия, Боль в суставе, Зуд, Другие атопические дерматиты, Аллергический контактный дерматит","Бензокаин, Ментол (Рацементол), Прокаин, Этанол",Not value,Меновазин,"ОАО ""Флора Кавказа""",Россия,Раствор для наружного применения,Растворы,Без рецепта,Не выше 25 С,Ментол (Рацементол)+Этанол+Бензокаин+Прокаин,2.5мг+1мг+1мг,Not value
89_2023-06-27,Дибазол раствор для инъекций 1% ампулы 5мл №10,68.0,54.0,68.0,0,1,dibazol_rastvor_1_ampuly_5ml_10,1.0,0.0,1,0,1,obezbolivayushchie,2023-06-27,,Бендазол,Not value,Дибазол,"ОАО ""Дальхимфарм""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Бендазол,10мг/мл,Средства спазмолитики
90_2023-06-27,Випросал В мазь 50г,433.0,264.0,433.0,1,1,viprosal_v_maz_50g,15.0,5.0,1,1,0,obezbolivayushchie,2023-06-27,"Миалгия, Миозит, Боль в суставе, Невралгия и неврит неуточненные","Камфора, Салициловая кислота, Скипидар, Яд гадюки",Not value,Випросал,"АО ""Таллиннский ХФЗ""",Эстония,Мазь для наружного применения,Мазь,Без рецепта,Не выше 25 С,Яд гадюки+Салициловая кислота+Камфора+Скипидар,Отсутствует,Противовоспалительные и обезболивающие средства (наружные)
91_2023-06-27,Эторелекс таблетки 90мг №28,732.0,610.0,732.0,0,1,etoreleks_tabletki_90mg_28,73.0,5.0,1,0,1,obezbolivayushchie,2023-06-27,"Подагра, Боль в суставе, Серопозитивный ревматоидный артрит, Полиартроз, Гонартроз артроз коленного сустава",Эторикоксиб,"Болит зуб, Боль в мышцах, Боль в спине, От боли в суставах, Аркоксиа, Целебрекс",Эторелекс,"АО ""Фармасинтез""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эторикоксиб,90мг,Противовоспалительные средства (внутренние)
92_2023-06-27,Папаверина гидрохлорид раствор для инъекций 2% ампулы 2мл №10 Дальхимфарм,126.0,100.0,126.0,0,1,papaverina_ghl_rr_2_amp_2ml_10,0.0,0.0,1,0,1,obezbolivayushchie,2023-06-27,"Головная боль, Преходящие транзиторные церебральные ишемические приступы атаки и родственные синдромы, Стенокардия грудная жаба, Синдром Рейно, Болезнь периферических сосудов неуточненная",Папаверин,Not value,Папаверина гидрохлорид раствор,"ОАО ""Дальхимфарм""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Папаверин,20мг/мл,Средства спазмолитики
93_2023-06-27,Артраксикам крем 50г,645.0,538.0,645.0,1,1,artraksikam_krem_50g,0.0,5.0,1,1,0,obezbolivayushchie,2023-06-27,"Миалгия, Боль в суставе, Серопозитивный ревматоидный артрит, Артрит неуточненный, Полиартроз","Мелоксикам, Перца стручкового настойка","Боль в мышцах, Боль в спине, Долобене",Артраксикам,"ОАО ""Нижфарм""",Россия,Крем для наружного применения,Крем,Без рецепта,Не выше 25 С,Мелоксикам+Перца стручкового настойка,30мг+100мг,Not value
94_2023-06-27,Фламакс раствор 50мг/мл ампулы 2мл №10,274.0,227.0,274.0,0,1,flamaks_rastvor_0_05ml_ampuly_2ml_10,12.0,0.0,1,0,1,obezbolivayushchie,2023-06-27,"Мигрень, Подагра, Миалгия, Другие уточненные изменения зубов и их опорного аппарата, Серопозитивный ревматоидный артрит",Кетопрофен,"Вольтарен, Дексалгин, Кетонал",Фламакс,"ЗАО ""Сотекс Фармфирма""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Кетопрофен,50мг/мл,Противовоспалительные средства (внутренние)
95_2023-06-27,Эторелекс таблетки 90мг №7,320.0,215.0,320.0,0,1,etoreleks_tabletki_90mg_7,34.0,5.0,1,0,1,obezbolivayushchie,2023-06-27,"Подагра, Боль в суставе, Серопозитивный ревматоидный артрит, Полиартроз, Гонартроз артроз коленного сустава",Эторикоксиб,"Болит зуб, Боль в мышцах, Боль в спине, От боли в суставах, Аркоксиа, Целебрекс",Эторелекс,"АО ""Фармасинтез""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эторикоксиб,90мг,Противовоспалительные средства (внутренние)
96_2023-06-27,Димексид флакон 200 мл,298.0,248.0,298.0,1,1,dimeksid_rr_25_fl_200ml,0.0,4.67,1,1,0,obezbolivayushchie,2023-06-27,,Диметилсульфоксид,Not value,Димексид,"ООО ""Лекарь""",Россия,Раствор для местного применения,Растворы,Без рецепта,Не выше 25 С,Диметилсульфоксид,99%,Not value
