count_index,name,price_withCard,price_withPeriod,price_withoutCard,allowOnlinePayment,isInStock,name_latin,bonuses,averageRating,isAvailable,allowDelivery,isRecipe,group,parsing_day_x,Nosology,Active_ingredient,Product_Group,Brand,Manufacturer,Country,Form_release,Form_release_common,Prescription,Conditions_of_storage,Active_ingredient_compound_name_composition,weight_briefly,Pharmacotherapeutic_group
1_2023-05-07,Лизиноприл таблетки 5мг №30,56.0,39.0,56.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,,Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,"ОАО ЗМП ""Борисовский""",Беларусь,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
2_2023-05-07,Лизиноприл таблетки 5мг №30,130.0,99.0,130.0,0,0,lizinopril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,Teva Pharm. Industries/ Тева Фарм. Предприятие,Израиль,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,5мг,Средства снижающие давление
7_2023-05-07,Небилет таблетки 5мг №28,1392.0,1053.0,1392.0,0,0,nebilet_tabletki_5mg_28,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Застойная сердечная недостаточность",Небиволол,Not value,Небилет,Berlin-Chemie AG/ Берлин-Хеми ,Германия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Небиволол,5мг,Средства снижающие давление
8_2023-05-07,Валз таблетки 160мг №28,427.0,292.0,427.0,0,0,valz_tabletki_160mg_28,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Вторичная гипертензия",Валсартан,Not value,Валз,Balkanpharma Dupnitza/ Балканфарма Дупница,Болгария,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Валсартан,160мг,Средства снижающие давление
9_2023-05-07,Амлодипин таблетки 5мг №30,167.0,126.0,167.0,0,0,amlodipin_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Нестабильная стенокардия, Стенокардия с документально подтвержденным спазмом",Амлодипин,Not value,Амлодипин,"ООО ""Р-Фарм Новосёлки""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Амлодипин,5мг,Средства снижающие давление
11_2023-05-07,Амлотоп таблетки 10мг №30,197.0,146.0,197.0,0,0,amlotop_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Нестабильная стенокардия, Стенокардия с документально подтвержденным спазмом",Амлодипин,Not value,Амлотоп,"ЗАО ""Макиз Фарма""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Амлодипин,10мг,Средства снижающие давление
16_2023-05-07,Раеном таблетки 5мг №56,954.0,723.0,954.0,0,0,raenom_tabletki_5mg_56,22.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Ишемическая болезнь сердца, Стенокардия грудная жаба, Застойная сердечная недостаточность",Ивабрадин,Кораксан,Раеном,Gedeon Richter/ Гедеон Рихтер,Румыния,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ивабрадин,5мг,Антиангинальные средства
18_2023-05-07,Лиотон гель 30г,870.0,635.0,870.0,1,0,lioton_gel_30g,0.0,0.0,0,0,0,serdechnososudistaya,2023-05-07,,Гепарин натрия,Not value,Лиотон,Berlin-Chemie AG/ Берлин-Хеми ,Италия,Гель для наружного применения,Гель,Без рецепта,Не выше 25 С,Гепарин натрия,1000МЕ,Венотонизирующие наружные средства
19_2023-05-07,Боярышник настойка флакон 25мл,29.0,19.0,29.0,1,0,boyaryshnik_nastojka_fl_25ml,0.0,0.0,0,1,0,serdechnososudistaya,2023-05-07,"Соматоформная дисфункция вегетативной нервной системы, Боль в области сердца",Боярышник плоды,Not value,Боярышник настойка,"ОАО ""Ивановская ФФ""",Россия,Настойка,Настойка,Без рецепта,8-25 С,Боярышник плоды,Отсутствует,Прочие средства в кардиологии
21_2023-05-07,"Индапамид таблетки 1,5мг №30",142.0,114.0,142.0,0,0,indapamid_tab_1_5mg_30,9.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,Эссенциальная первичная гипертензия,Индапамид,Арифон ретард,Индапамид,"ЗАО ""ПФК Обновление""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Индапамид,1.5мг,Not value
22_2023-05-07,Лиотон 1000 гель 50г,1262.0,963.0,1262.0,1,0,lioton_1000_gel_50g,0.0,0.0,0,1,0,serdechnososudistaya,2023-05-07,,Гепарин натрия,Not value,Лиотон,Berlin-Chemie AG/ Берлин-Хеми ,Италия,Гель для наружного применения,Гель,Без рецепта,Не выше 25 С,Гепарин натрия,1000МЕ,Венотонизирующие наружные средства
26_2023-05-07,Валидол Реневал таблетки для рассасывания 60мг №16,92.0,64.0,92.0,1,0,validol_tabletki_0_06g_16,6.0,0.0,0,1,0,serdechnososudistaya,2023-05-07,"Неврастения, Невротическое расстройство неуточненное, Боль в области сердца, Укачивание при движении",Раствора ментола в ментиловом эфире кислоты изовалериановой,Not value,Валидол таблетки,"ЗАО ""ПФК Обновление""",Россия,Таблетки для рассасывания,Таблетки,Без рецепта,Не выше 25 С,Раствора ментола в ментиловом эфире кислоты изовалериановой,60мг,Прочие средства в кардиологии
34_2023-05-07,"Моксонидин таблетки 0,2мг №28",181.0,134.0,181.0,0,0,moksonidin_tabletki_0_2mg_28,15.0,5.0,0,0,1,serdechnososudistaya,2023-05-07,Эссенциальная первичная гипертензия,Моксонидин,"Физиотенз, Моксонитекс, Тензотран",Моксонидин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Моксонидин,0.2мг,Средства снижающие давление
37_2023-05-07,"Моксонидин таблетки 0,4мг №28",289.0,200.0,289.0,0,0,moksonidin_tabletki_0_4mg_28,23.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,Эссенциальная первичная гипертензия,Моксонидин,"Физиотенз, Моксонитекс, Тензотран",Моксонидин,"ЗАО ""Северная Звезда""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Моксонидин,0.4мг,Средства снижающие давление
38_2023-05-07,Кордипин XL таблетки 40мг №20,157.0,121.0,157.0,0,0,kordipin_xl_tabletki_40mg_20,3.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Стенокардия грудная жаба, Стенокардия с документально подтвержденным спазмом, Синдром Рейно",Нифедипин,Not value,Кордипин,KRKA d.d./ КРКА,Словения,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Нифедипин,40мг,Средства снижающие давление
43_2023-05-07,"Энап таблетки 2,5мг №60",66.0,61.0,66.0,0,0,enap_tabletki_2_5mg_60,4.0,5.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,Not value,Энап,KRKA d.d./ КРКА,Словения,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,2.5мг,Средства снижающие давление
44_2023-05-07,"Коапровель таблетки 300мг+12,5мг №28",1332.0,1008.0,1332.0,0,0,koaprovel_tabletki_30012_5mg_28,20.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,Эссенциальная первичная гипертензия,"Гидрохлоротиазид, Ирбесартан",Not value,Коапровель,Sanofi Aventis Pharma/ Санофи Авентис,Франция,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Ирбесартан+Гидрохлоротиазид,300мг+12.5мг,Средства снижающие давление
46_2023-05-07,Каптоприл таблетки 50мг №20,37.0,28.0,37.0,0,0,kaptopril_tabletki_50mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,Ишемическая болезнь сердца,Каптоприл,Капотен,Каптоприл,"ООО ""Пранафарм""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Каптоприл,50мг,Средства снижающие давление
47_2023-05-07,Эналаприл таблетки 20мг №20,60.0,54.0,60.0,0,0,enalapril_tabletki_20mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Нестабильная стенокардия, Острый инфаркт миокарда, Застойная сердечная недостаточность",Эналаприл,"Берлиприл, Рениприл, Ренитек, Эднит, Энам, Энап",Эналаприл,"ЗАО ФП ""Оболенское""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,20мг,Средства снижающие давление
49_2023-05-07,Берлиприл таблетки 5мг №30,68.0,52.0,68.0,0,0,berlipril_tabletki_5mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Реноваскулярная гипертензия, Застойная сердечная недостаточность",Эналаприл,Not value,Берлиприл,Berlin-Chemie AG/ Берлин-Хеми ,Германия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Эналаприл,5мг,Средства снижающие давление
57_2023-05-07,Лизиноприл таблетки 10мг №30,210.0,165.0,210.0,0,0,lizinopril_tabletki_10mg_30,0.0,0.0,0,0,1,serdechnososudistaya,2023-05-07,"Эссенциальная первичная гипертензия, Острый инфаркт миокарда, Застойная сердечная недостаточность, Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)",Лизиноприл,"Диротон, Ирумед, Лизинотон, Лизигамма, Лизипрекс",Лизиноприл,Teva Pharm. Industries/ Тева Фарм. Предприятие,Израиль,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Лизиноприл,10мг,Средства снижающие давление
63_2023-05-07,Дибазол раствор для инъекций 1% ампулы 5мл №10,68.0,54.0,68.0,0,1,dibazol_rastvor_1_ampuly_5ml_10,1.0,0.0,1,0,1,obezbolivayushchie,2023-05-07,,Бендазол,Not value,Дибазол,"ОАО ""Дальхимфарм""",Россия,Раствор для инъекций,Растворы,Рецептурный,Не выше 25 С,Бендазол,10мг/мл,Средства спазмолитики
64_2023-05-07,Ортофен мазь 2% 50г,188.0,156.0,188.0,1,1,ortofen_maz_2_50g,14.0,0.0,1,1,0,obezbolivayushchie,2023-05-07,"Подагра, Миалгия, Боль в суставе, Серопозитивный ревматоидный артрит, Полиартроз",Диклофенак,"Домашняя аптечка, Вольтарен, Боль в мышцах, Боль в спине, Быструмгель, Диклофенак, Дип Рилиф, Диклак, Долобене",Ортофен,АО «ВЕРТЕКС»,Россия,Мазь для наружного применения,Мазь,Без рецепта,Не выше 25 С,Диклофенак,2%,Противовоспалительные и обезболивающие средства (наружные)
65_2023-05-07,Ибупрофен таблетки 400мг №30,363.0,303.0,363.0,0,1,ibuprofen_tabletki_400mg_30,0.0,0.0,1,0,0,obezbolivayushchie,2023-05-07,"Мигрень, Подагра, Головная боль, Миалгия, Боль в суставе",Ибупрофен,"Жар, Бруфен, Нурофен, Миг",Ибупрофен,"ООО ""Велфарм""",Россия,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Ибупрофен,400мг,Противовоспалительные средства (внутренние)
