name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
Лизиноприл таблетки 5мг №30,2023-05-07,56.0,39.0,56.0
Лизиноприл таблетки 5мг №30,2023-05-07,130.0,99.0,130.0
Велкардио таблетки 25мг №30,2023-05-07,0,0,0
Метопролол таблетки 50мг №30,2023-05-07,0,0,0
Лизинотон таблетки 10мг №28,2023-05-07,0,0,0
"Эдарби Кло таблетки 40мг+12,5мг №98",2023-05-07,0,0,0
Небилет таблетки 5мг №28,2023-05-07,1392.0,1053.0,1392.0
Валз таблетки 160мг №28,2023-05-07,427.0,292.0,427.0
Амлодипин таблетки 5мг №30,2023-05-07,167.0,126.0,167.0
Бисопролол таблетки 5мг №30,2023-05-07,0,0,0
Амлотоп таблетки 10мг №30,2023-05-07,197.0,146.0,197.0
Бисопролол таблетки 5мг №50,2023-05-07,0,0,0
Дигоксин Реневал таблетки 0.25мг №56,2023-05-07,0,0,0
Нитроглицерин таблетки 0.5мг №40,2023-05-07,0,0,0
"Раеном таблетки 7,5мг №56",2023-05-07,0,0,0
Раеном таблетки 5мг №56,2023-05-07,954.0,723.0,954.0
Калия оротат таблетки 0.5г №20,2023-05-07,0,0,0
Лиотон гель 30г,2023-05-07,870.0,635.0,870.0
Боярышник настойка флакон 25мл,2023-05-07,29.0,19.0,29.0
Солгар L-Аргинин таблетки 1000мг №90,2023-05-07,0,0,0
"Индапамид таблетки 1,5мг №30",2023-05-07,142.0,114.0,142.0
Лиотон 1000 гель 50г,2023-05-07,1262.0,963.0,1262.0
Рибоксин раствор для инъекций 2% ампулы 5мл №10,2023-05-07,0,0,0
Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2023-05-07,0,0,0
Корвалол форте таблетки №30,2023-05-07,0,0,0
Валидол Реневал таблетки для рассасывания 60мг №16,2023-05-07,92.0,64.0,92.0
"Коэнзим композитум раствор для инъекций ампулы 2,2мл №5",2023-05-07,0,0,0
Ливазо таблетки 1мг №28,2023-05-07,0,0,0
Зенон таблетки 20мг+10мг №30,2023-05-07,0,0,0
Зенон таблетки 10мг+10мг №30,2023-05-07,0,0,0
Сувардио таблетки 10мг №28,2023-05-07,0,0,0
Ро-статин таблетки 20мг №30,2023-05-07,0,0,0
Розувастатин Тева таблетки 10мг №30,2023-05-07,0,0,0
"Моксонидин таблетки 0,2мг №28",2023-05-07,181.0,134.0,181.0
Лортенза таблетки 5мг+50мг №90,2023-05-07,0,0,0
Эналаприл таблетки 5мг №20,2023-05-07,0,0,0
"Моксонидин таблетки 0,4мг №28",2023-05-07,289.0,200.0,289.0
Кордипин XL таблетки 40мг №20,2023-05-07,157.0,121.0,157.0
Апроваск таблетки 5мг+300мг №28,2023-05-07,0,0,0
Апровель таблетки 150мг №28,2023-05-07,0,0,0
Апроваск таблетки 10мг+300мг №28,2023-05-07,0,0,0
Хартил таблетки 10мг №28,2023-05-07,0,0,0
"Энап таблетки 2,5мг №60",2023-05-07,66.0,61.0,66.0
"Коапровель таблетки 300мг+12,5мг №28",2023-05-07,1332.0,1008.0,1332.0
Телзап АМ таблетки 10мг+40мг №28,2023-05-07,0,0,0
Каптоприл таблетки 50мг №20,2023-05-07,37.0,28.0,37.0
Эналаприл таблетки 20мг №20,2023-05-07,60.0,54.0,60.0
Телсартан АМ таблетки 5мг+40мг №28,2023-05-07,0,0,0
Берлиприл таблетки 5мг №30,2023-05-07,68.0,52.0,68.0
Бисопролол таблетки 10мг №50 Рафарма,2023-05-07,0,0,0
"Телсартан Н таблетки 80мг+12,5мг №28",2023-05-07,0,0,0
Карведилол таблетки 12.5мг №30,2023-05-07,0,0,0
Телсартан АМ таблетки 5мг+80мг №28,2023-05-07,0,0,0
Экламиз таблетки 5мг+10мг №30,2023-05-07,0,0,0
Валаар таблетки 80мг №28,2023-05-07,0,0,0
"Периндоприл Плюс индапамид таблетки 2,5мг+8мг №30",2023-05-07,0,0,0
Лизиноприл таблетки 10мг №30,2023-05-07,210.0,165.0,210.0
Соталол таблетки 80мг №30,2023-05-07,0,0,0
Соталол таблетки 160мг №30,2023-05-07,0,0,0
Детралекс таблетки 500мг №60,2023-05-07,0,0,0
Липримар таблетки 80мг №30,2023-05-07,0,0,0
Конкор таблетки 10мг №50,2023-05-07,0,0,0
Дибазол раствор для инъекций 1% ампулы 5мл №10,2023-05-07,68.0,54.0,68.0
Ортофен мазь 2% 50г,2023-05-07,188.0,156.0,188.0
Ибупрофен таблетки 400мг №30,2023-05-07,363.0,303.0,363.0
Кеторолак раствор для инъекций 30мг ампулы 1мл №10,2023-05-07,95.0,90.0,95.0
Артраксикам крем 50г,2023-05-07,632.0,415.0,632.0
Бикситор таблетки 90мг №10,2023-05-07,484.0,337.0,484.0
Спазмалгон таблетки №10,2023-05-07,219.0,123.0,219.0
Димексид флакон 200 мл,2023-05-07,298.0,248.0,298.0
Спазмалгон эффект таблетки №10,2023-05-07,249.0,166.0,249.0
Эторелекс таблетки 60мг №28,2023-05-07,672.0,560.0,672.0
Меновазин раствор для наружного применения флакон 40мл,2023-05-07,47.0,34.0,47.0
Аленталь крем 50г,2023-05-07,294.0,245.0,294.0
Дротаверин Реневал таблетки 40мг №28,2023-05-07,97.0,92.0,97.0
Эторелекс таблетки 90мг №7,2023-05-07,320.0,215.0,320.0
Спазган таблетки №20,2023-05-07,194.0,130.0,194.0
