group,name_item,href_name,price,producer
gripp-i-prostuda,Оциллококцинум гран 1доза N6 (Буарон),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/ocillokokcinum-gran-1doza-n6-76_2895/,574.0,"Лаборатория Буарон, Франция"
gripp-i-prostuda,Ринза таб N10 (Джонсон),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/rinza-tab-n10-43_11255/,215.0,"Юник Фармасьютикал Лабораториз, Индия"
gripp-i-prostuda,Золотая звезда бальзам 4г (Доминанта),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/zolotaya-zvezda-balzam-4g-56_11263/,153.0,"Данафа Фармасьютикал Джойнт, Вьетнам"
gripp-i-prostuda,Золотая звезда бальзам 5мл (Доминанта),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/zolotaya-zvezda-balzam-5ml-95_11318/,107.0,"Данафа Фармасьютикал Джойнт, Вьетнам"
gripp-i-prostuda,"Липы цветки ф/п 1,5г N20 (Европлант)",https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/lipy-cvetki-fp-15g-n20-29_11991/,95.0,"Красногорсклексредства, Россия"
gripp-i-prostuda,"Золотая звезда карандаш д/ингал 1,3г (Доминанта)",https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/zolotaya-zvezda-karandash-dingal-13g-22_12454/,146.0,"Данафа Фармасьютикал Джойнт, Вьетнам"
gripp-i-prostuda,Кармолис капли 40мл (Санта),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/karmolis-kapli-40ml-64_12561/,1228.0,"Др Шмидгалл, Австрия"
gripp-i-prostuda,Агри детский таб N40 (МатериаМедика),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/agri-tab-ddet-n40-29_13513/,119.0,"Материа Медика, Россия"
gripp-i-prostuda,Ингалипт аэр 30мл (Фармстандарт МНН),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/ingalipt-aer-30ml-28_14565/,149.0,"Фармстандарт, Россия"
gripp-i-prostuda,АнвиМакс лимон пак N12 (Сотекс),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/anvimaks-limon-pak-n12-87_15882/,411.0,"Фармцентр ВИЛАР ЗАО, Россия"
gripp-i-prostuda,АнвиМакс малина пак N12 (Сотекс),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/anvimaks-malina-pak-n12-74_15906/,451.0,"ФармВИЛАР ФПК, Россия"
gripp-i-prostuda,АнвиМакс лимон пак N24 (Сотекс),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/anvimaks-limon-pak-n24-40_16431/,816.0,"ФармВИЛАР ФПК, Россия"
gripp-i-prostuda,Стрепсилс согрев эффект таб N24 (Рекитт),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/strepsils-sogrev-effekt-tab-n24-98_16565/,243.0,"Рекитт Бенкизер, Великобритания"
gripp-i-prostuda,Антигриппин-Анви капс N20 (Сотекс),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/antigrippin-anvi-kaps-n20-87_16661/,148.0,"Антивирал, Россия"
gripp-i-prostuda,ГриппоФлю Экстра пор д/приг р-ра лимон N8 (Марбиофарм),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/grippoflyu-ekstra-por-dprig-r-ra-limon-n8-15_17048/,325.0,"Марбиофарм, Россия"
gripp-i-prostuda,Горчичник пакет N20 (Сарепта),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/gorchichnik-paket-n20-30_17358/,28.0,"Сарепта-Медипласт, Россия"
gripp-i-prostuda,Цитовир-3 пор д/приг р-ра 20г (Цитомед),https://astrahan.social-apteka.ru/catalog/gripp-i-prostuda/citovir-3-poroshok-dprig-r-ra-20g-23_18525/,368.0,"Цитомед, Россия"
