group,name_item,href_name,price,stock,recipe,substance,producer
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр малиновый №6,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-malina-6-7018528/,266.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+[АСКОРБИНОВАЯ КИСЛОТА],Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр малиновый №12,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-malina-12-7018448/,457.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+[АСКОРБИНОВАЯ КИСЛОТА],Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр лимонный №6,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-limon-6-7018498/,277.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+[АСКОРБИНОВАЯ КИСЛОТА],Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр лимонный №12,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-limon-12-7018478/,0.0,Нет в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+[АСКОРБИНОВАЯ КИСЛОТА],Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный 500мг+25мг+200мг 4,95г №12",https://xn--80aafkze2bij.online/ferveks-por-b-sakhara-limon-4-95-13-1g-12-6399768/,0.0,Нет в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Фервекс пор. д/р-ра внутр лимонный с сахаром 500мг+25мг+200мг №12,https://xn--80aafkze2bij.online/ferveks-por-d-r-ra-vnutr-limonnyy-s-sakharom-500mg-25mg-200mg-12-2035088/,559.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,Бристол-Майерс Сквибб/УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный с сахаром 500мг+25мг+200мг 13,1г №4",https://xn--80aafkze2bij.online/ferveks-por-s-sakharom-limon-13-1g-4-6462398/,0.0,Нет в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный б/сахара 500мг+25мг+200мг 4,95г №8",https://xn--80aafkze2bij.online/ferveks-por-b-sakhara-limon-4-95-13-1g-8-1139498/,469.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный с сахаром 500мг+25мг+200мг 13,1г №8",https://xn--80aafkze2bij.online/ferveks-por-s-sakharom-limon-13-1g-8-1514948/,496.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Суприма-плюс мазь 20г №1,https://xn--80aafkze2bij.online/suprima-plyus-maz-20g-1-1253418/,199.0,есть в наличии,Нет,КАМФОРА+МЕНТОЛ+ЭВКАЛИПТОВОЕ МАСЛО+ТИМОЛ+ТЕРПЕНТИНОВОЕ МАСЛО,Шрея Лайф Сайенсиз Пвт Лтд
